primaryOfficeId,givenNames,familyName,role,mobile,username,email,password
CRVS_OFFICE_A0F675F8,Kalusha,Bwalya,SOCIAL_WORKER,+260911111111,k.bwalya,kalushabwalya17@gmail.com,Acme12#assasQW
CRVS_OFFICE_A0F675F8,Felix,Katongo,REGISTRATION_AGENT,+260922222222,f.katongo,kalushabwalya17+@gmail.com,Acme12#assasQW
CRVS_OFFICE_A0F675F8,Kennedy,Mweene,LOCAL_REGISTRAR,+260933333333,k.mweene,kalushabwalya1.7@gmail.com,Acme12#assasQW
CRVS_OFFICE_A0F675F8,Emmanuel,Mayuka,LOCAL_SYSTEM_ADMIN,+260921681112,e.mayuka,kalushabwalya.17@gmail.com,Acme12#assasQW
CRVS_OFFICE_A0F675F8,Jonathan,Campbell,NATIONAL_SYSTEM_ADMIN,+260921111111,j.campbell,lahiru.madushanka6@gmail.com,Acme12#assasQW
CRVS_OFFICE_A0F675F8,Patrick,Gondwe,LOCAL_LEADER,+260912121212,p.gondwe,kalushabwal.ya17@gmail.com,Acme12#assasQW
CRVS_OFFICE_A0F675F8,Joshua,Mutale,REGISTRATION_AGENT,+260923232323,j.mutale,kalushabwa.lya17@gmail.com,Acme12#assasQW
CRVS_OFFICE_A0F675F8,Derrick,Bulaya,LOCAL_REGISTRAR,+260934343434,d.bulaya,kalushabw.alya17@gmail.com,Acme12#assasQW
CRVS_OFFICE_A0F675F8,Alex,Ngonga,LOCAL_SYSTEM_ADMIN,+260978787878,a.ngonga,kalushab.walya17@gmail.com,Acme12#assasQW
CRVS_OFFICE_A0F675F8,Edgar,Kazembe,PERFORMANCE_MANAGER,+260977777777,e.kazembe,kalusha.bwalya17@gmail.com,Acme12#assasQW
CRVS_OFFICE_A0F675F8,Joseph,Musonda,NATIONAL_REGISTRAR,+260915151515,j.musonda,kalush.abwalya17@gmail.com,Acme12#assasQW
